user_id	track_count	session_start	session_end	session_number	session_id	session_duration_seconds	session_duration_minutes
user_000949	5360	2006-02-12 17:49:31	2006-02-27 11:29:37	151	user_000949-00000151	1273206	21220.1
user_000544	5350	2007-02-12 13:03:52	2007-02-23 00:51:08	75	user_000544-00000075	906436	15107.266666666666
user_000949	4956	2005-12-09 08:26:38	2005-12-18 04:40:04	139	user_000949-00000139	764006	12733.433333333332
user_000949	4705	2007-05-01 02:41:15	2007-05-14 00:05:52	559	user_000949-00000559	1113877	18564.616666666665
user_000997	4357	2007-04-26 00:36:02	2007-05-10 17:55:03	18	user_000997-00000018	1271941	21199.016666666666
user_000544	3809	2007-01-14 04:15:54	2007-01-20 14:31:38	56	user_000544-00000056	555344	9255.733333333334
user_000544	3651	2007-01-06 01:07:04	2007-01-13 13:57:45	55	user_000544-00000055	651041	10850.683333333332
user_000949	3077	2005-11-11 03:30:37	2005-11-18 22:50:07	125	user_000949-00000125	674370	11239.5
user_000262	2862	2008-09-24 08:00:00	2008-09-24 19:59:45	1120	user_000262-00001120	43185	719.75
user_000949	2834	2006-03-18 23:04:14	2006-03-26 18:13:45	189	user_000949-00000189	673771	11229.516666666666
user_000554	2701	2008-08-16 22:10:45	2008-08-17 05:07:45	546	user_000554-00000546	25020	417.0
user_000949	2652	2006-02-27 17:47:28	2006-03-06 19:52:35	152	user_000949-00000152	612307	10205.116666666667
user_000949	2643	2006-01-25 20:08:49	2006-02-01 21:12:03	148	user_000949-00000148	608594	10143.233333333334
user_000250	2600	2008-02-21 15:31:45	2008-02-28 21:18:03	1285	user_000250-00001285	625578	10426.3
user_000949	2541	2006-02-05 12:00:53	2006-02-12 06:40:52	149	user_000949-00000149	585599	9759.983333333334
user_000544	2541	2007-02-05 06:24:07	2007-02-09 13:20:10	70	user_000544-00000070	370563	6176.05
user_000949	2436	2008-03-11 21:16:11	2008-03-18 00:57:25	708	user_000949-00000708	531674	8861.233333333334
user_000008	2435	2009-03-20 18:35:27	2009-03-21 09:36:43	236	user_000008-00000236	54076	901.2666666666667
user_000974	2423	2007-06-02 01:03:39	2007-06-08 06:12:11	6	user_000974-00000006	536912	8948.533333333333
user_000885	2394	2006-02-25 07:44:15	2006-03-04 06:32:49	65	user_000885-00000065	600514	10008.566666666668
user_000008	2394	2009-01-31 06:05:06	2009-02-01 11:01:11	117	user_000008-00000117	104165	1736.0833333333333
user_000949	2354	2006-04-22 20:38:49	2006-04-29 05:29:45	212	user_000949-00000212	550256	9170.933333333332
user_000974	2345	2007-06-22 20:09:08	2007-06-28 20:24:38	13	user_000974-00000013	519330	8655.5
user_000949	2292	2005-09-15 19:51:27	2005-09-21 05:38:08	103	user_000949-00000103	467201	7786.683333333333
user_000949	2276	2005-10-24 10:28:25	2005-10-30 22:41:02	118	user_000949-00000118	562357	9372.616666666667
user_000997	2267	2007-05-11 14:04:42	2007-05-17 18:11:57	19	user_000997-00000019	533235	8887.25
user_000568	2251	2008-07-09 08:17:07	2008-07-12 21:12:25	66	user_000568-00000066	305718	5095.3
user_000544	2249	2007-03-06 12:31:11	2007-03-10 19:42:19	85	user_000544-00000085	371468	6191.133333333333
user_000544	2248	2007-02-25 20:44:15	2007-03-02 01:35:09	79	user_000544-00000079	363054	6050.9
user_000008	2216	2009-01-23 23:58:04	2009-01-25 07:10:27	92	user_000008-00000092	112343	1872.3833333333334
user_000949	2183	2006-01-16 00:00:00	2006-01-22 00:27:49	146	user_000949-00000146	520069	8667.816666666668
user_000672	2181	2009-01-15 08:30:07	2009-01-20 02:49:12	22	user_000672-00000022	411545	6859.083333333333
user_000233	2168	2007-04-15 08:23:12	2007-04-21 00:38:16	2361	user_000233-00002361	490504	8175.066666666667
user_000949	2138	2006-01-01 12:05:19	2006-01-07 03:11:06	143	user_000949-00000143	486347	8105.783333333334
user_000949	2127	2008-04-25 20:24:37	2008-04-29 17:02:04	742	user_000949-00000742	333447	5557.45
user_000949	2098	2006-01-08 12:01:24	2006-01-14 16:37:58	144	user_000949-00000144	534994	8916.566666666668
user_000970	2095	2009-03-03 09:24:48	2009-03-08 05:08:38	360	user_000970-00000360	416630	6943.833333333333
user_000949	2082	2005-10-04 04:24:05	2005-10-10 07:38:19	108	user_000949-00000108	530054	8834.233333333334
user_000949	2068	2006-04-17 05:06:40	2006-04-22 20:14:00	211	user_000949-00000211	486440	8107.333333333333
user_000949	2047	2007-04-12 22:50:43	2007-04-18 04:51:17	551	user_000949-00000551	453634	7560.566666666667
user_000949	2032	2006-06-21 08:36:23	2006-06-27 05:27:11	274	user_000949-00000274	507048	8450.8
user_000709	1991	2005-05-21 11:27:41	2005-05-25 06:33:31	183	user_000709-00000183	327950	5465.833333333333
user_000949	1968	2006-06-27 06:19:08	2006-07-02 21:29:43	275	user_000949-00000275	486635	8110.583333333333
user_000949	1960	2006-05-05 19:22:02	2006-05-11 09:28:49	213	user_000949-00000213	482807	8046.783333333334
user_000427	1954	2008-09-30 19:51:00	2008-10-06 02:44:57	2285	user_000427-00002285	456837	7613.95
user_000544	1918	2007-03-26 02:01:49	2007-03-30 23:20:30	97	user_000544-00000097	422321	7038.683333333333
user_000691	1917	2007-10-27 15:53:33	2007-11-01 23:38:34	90	user_000691-00000090	459901	7665.016666666666
user_000458	1903	2008-07-15 00:52:55	2008-07-20 21:39:22	1304	user_000458-00001304	506787	8446.45
user_000233	1897	2007-04-04 06:22:01	2007-04-08 22:25:07	2355	user_000233-00002355	403386	6723.1
user_000233	1867	2007-04-10 06:13:37	2007-04-13 22:35:36	2358	user_000233-00002358	318119	5301.983333333334
